Youre hiding the SecureString dependency on allocatorsh by indirect include via serializeh;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
makes sense here after the dependency is moved to class;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
Without a doubt ideally there are no indirect dependencies anywhere but that would take a lot of knowledge about all files dependency fulfillment and usage;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
Id rather avoid adding more dependencies in CAddrDB for something that isnt really used elsewhere;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
This duplication is quite ugly Mikes refactor that moves these chaindependent constants to a separate class is nicer but you may want to check that it doesnt introduce new dependencies;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
Well the remote routers need to handle the nodes setting which the local ones do not Hence there must be a translation between local and remote unless the RemoteDeployer would not use local parsing at all, which is obviously even worse If that translation is part of the router interface so that the RemoteDeployer could do it generically then local routers need to know about their remote counterparts which is not possible due to cyclic dependencies between the packages;rkuhn;akka-akka-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
We cant have external dependencies in akkaactor Therefore I have embedded the code You can continue work in your repository and we will copy it The long term goal is to push it down to scala library;patriknw;akka-akka-issue_comments-116;design
I changed the MultiNodeSpec to not depend on AkkaSpec or on a specific test framework and removed all dependencies to ScalaTest from the published artifacts;bantonsson;akka-akka-issue_comments-692;design
The orgjboss dependencies shouldnt be present in the general interface;viktorklang;akka-akka-pull_request_comments-106;design
Yes i struggled a bit with the dependencies here Do u think it would be better to send the publisher ref to the parent from core and start the metricstriggered on that;patriknw;akka-akka-pull_request_comments-1122;design
Ill take a look at the ActorComponent and the Message dependencies when I have time;RayRoestenburg;akka-akka-pull_request_comments-245;design
True good catch Did think about it when I first saw the code to mention but thought FSM would mean more dependencies but now I see it is in akka actor;RayRoestenburg;akka-akka-pull_request_comments-344;design
This shouldnt be added into akka remote it should be a sub module to akka remote so people dont need the extra dependencies if they dont use rcl;viktorklang;akka-akka-pull_request_comments-486;design
This implementation seems like there should already exist such a utility function amongst the dependencies try to find one and use that;viktorklang;akka-akka-pull_request_comments-669;design
Im not a huge fan of adding dependencies even for tests can we avoid these;viktorklang;akka-akka-pull_request_comments-669;design
Yes A FIXME should probably be added to the dependencies in AkkaBuild as well;bantonsson;akka-akka-pull_request_comments-852;design
I think JavaLoggingEventHandler is a good thing An advantage over slf4j with jul is that it doesnt require any dependencies but I guess it solved some problem also;patriknw;akka-akka-pull_request_comments-913;design
Jut as a FYI comeaio will be dropped Ive added a ticket to move the things from orgjbossnettyakkautil to akkautil comtypesafeconfig will become an explicit dependency as well instead of an embedded one This will hopefully clean up the exportPackage;viktorklang;akka-akka-pull_request_comments-460;design
Also there is an issue with Message dependency on CamelContext can you suggest any elegant way of getting rid of this dependency;piotrga;akka-akka-pull_request_comments-245;design
what is the advantage of this Base64 which adds another dependency over javanetURLEncoderULRDecoder;patriknw;akka-akka-pull_request_comments-1747;design
You should also mention that you need to add akka remote as a dependency;viktorklang;akka-akka-pull_request_comments-168;design
This is actually the simplest I could do to preserve the existing semantics An even better approach and one I want to do once someone can answer my questions on repercussions is to not dynamically depend on projects but to depend on the dependencyClasspath setting Using this we should be able to get all the dependent jars classpath directories and we can filter this to grab the relevant reference conf files Then were no longer used advanced sbt features and we might see more stability;jsuereth;akka-akka-pull_request_comments-1617;design
why is the kernel dependency needed;patriknw;akka-akka-pull_request_comments-1285;design
I dont agree I think extensions should be registered on demand when first used Otherwise we have the dependency issue that ActorSystem need to know about all extensions or users need to configure all extensions they use;patriknw;akka-akka-pull_request_comments-121;design
Using ref single updatenewValue could be more efficient I know eliminating a read dependency can help in a DB transaction but not sure about in our STM implementation;richdoughertyakka-akka-pull_request_comments-1051;design
I need help with sbt as there are dependency conflicts;muuki88;muuki88;akka-akka-issue_comments-589;design
The dependency on specs2 has been removed in order to lessen the pain of living close to scala master, it would be great if you could check the plain text documentation and make that as good as possible instead thanks;rkuhn;akka-akka-issue_comments-502;design
For the code changes: the current akka osgi module has the import for the org apache aries marked as optional so theres no runtime dependency preventing this from working in a plain OSGi environment but I can obviously separate that into a new module as well if you prefer And I can obviously make the changes to the public methods as well;gertv;akka-akka-issue_comments-500;design
