Did you send a bug report comment upstream or something because otherwise we are gonna have to fix this again with the next version of assimp;joao;id;general
SSL contexts shouldnt be reused across connections see So its probably more appropriate to pass in factories directly;joao;id;design
To create a Finagle Thrift service you must implement the ServiceIface Interface that a custom Thrift compiler generates for your service Scrooge wraps your service method return values with asynchronous;joao;id;design
I think its important to specify that the developer must implement ServiceIface and not Iface to make the example clearerisnotinvain that is a good idea;joao;id;design
btw if you want to retain the debugging information here its often useful you should probably either 1 use logging at a debug level or 2 pass a debug flag into the codec constructor;joao;id;design
How about to create a Finagle Thrift service you must use the custom Thrift compiler which can be found here regular thrift Iface interface a ServiceIface interface that wraps all return values in a Future which is required by Finagle;joao;id;design
If you want to make it overridable not declare it as static as override static methods many times give inconsistent behavior;joao;id;design
Youre hiding the SecureString dependency on allocatorsh by indirect include via serializeh;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
makes sense here after the dependency is moved to class;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
Without a doubt ideally there are no indirect dependencies anywhere but that would take a lot of knowledge about all files dependency fulfillment and usage;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
Id rather avoid adding more dependencies in CAddrDB for something that isnt really used elsewhere;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
This duplication is quite ugly Mikes refactor that moves these chaindependent constants to a separate class is nicer but you may want to check that it doesnt introduce new dependencies;rkuhn;bitcoin-bitcoin-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
Well the remote routers need to handle the nodes setting which the local ones do not Hence there must be a translation between local and remote unless the RemoteDeployer would not use local parsing at all which is obviously even worse If that translation is part of the router interface so that the RemoteDeployer could do it generically then local routers need to know about their remote counterparts which is not possible due to cyclic dependencies between the packages;rkuhn;akka-akka-commit_comments-dac0beb01b9ffe01ef85b3334c7077909321370a;design
